congress,bill_number,url,word_count
105,1134,https://www.congress.gov/bill/105th-congress/senate-bill/1134/text?r=1&s=2&format=txt,1265.0
105,1139,https://www.congress.gov/bill/105th-congress/senate-bill/1139/text?r=1&s=2&format=txt,19569.0
105,1150,https://www.congress.gov/bill/105th-congress/senate-bill/1150/text?r=1&s=2&format=txt,37039.0
105,1161,https://www.congress.gov/bill/105th-congress/senate-bill/1161/text?r=1&s=2&format=txt,164.0
105,1178,https://www.congress.gov/bill/105th-congress/senate-bill/1178/text?r=1&s=2&format=txt,561.0
105,1193,https://www.congress.gov/bill/105th-congress/senate-bill/1193/text?r=1&s=2&format=txt,547.0
105,1198,https://www.congress.gov/bill/105th-congress/senate-bill/1198/text?r=1&s=2&format=txt,467.0
105,1211,https://www.congress.gov/bill/105th-congress/senate-bill/1211/text?r=1&s=2&format=txt,120.0
105,1227,https://www.congress.gov/bill/105th-congress/senate-bill/1227/text?r=1&s=2&format=txt,489.0
105,1228,https://www.congress.gov/bill/105th-congress/senate-bill/1228/text?r=1&s=2&format=txt,2476.0
105,1231,https://www.congress.gov/bill/105th-congress/senate-bill/1231/text?r=1&s=2&format=txt,1270.0
105,1244,https://www.congress.gov/bill/105th-congress/senate-bill/1244/text?r=1&s=2&format=txt,931.0
105,1258,https://www.congress.gov/bill/105th-congress/senate-bill/1258/text?r=1&s=2&format=txt,589.0
105,1260,https://www.congress.gov/bill/105th-congress/senate-bill/1260/text?r=1&s=2&format=txt,4748.0
105,1298,https://www.congress.gov/bill/105th-congress/senate-bill/1298/text?r=1&s=2&format=txt,159.0
105,1333,https://www.congress.gov/bill/105th-congress/senate-bill/1333/text?r=1&s=2&format=txt,345.0
105,1347,https://www.congress.gov/bill/105th-congress/senate-bill/1347/text?r=1&s=2&format=txt,338.0
105,1349,https://www.congress.gov/bill/105th-congress/senate-bill/1349/text?r=1&s=2&format=txt,313.0
105,1354,https://www.congress.gov/bill/105th-congress/senate-bill/1354/text?r=1&s=2&format=txt,386.0
