congress,bill_number,url
105,1693,https://www.congress.gov/bill/105th-congress/senate-bill/1693/text?r=1&s=2&format=txt
105,1260,https://www.congress.gov/bill/105th-congress/senate-bill/1260/text?r=1&s=2&format=txt
105,1258,https://www.congress.gov/bill/105th-congress/senate-bill/1258/text?r=1&s=2&format=txt
105,833,https://www.congress.gov/bill/105th-congress/senate-bill/833/text?r=1&s=2&format=txt
105,2240,https://www.congress.gov/bill/105th-congress/senate-bill/2240/text?r=1&s=2&format=txt
105,2282,https://www.congress.gov/bill/105th-congress/senate-bill/2282/text?r=1&s=2&format=txt
105,2427,https://www.congress.gov/bill/105th-congress/senate-bill/2427/text?r=1&s=2&format=txt
105,2285,https://www.congress.gov/bill/105th-congress/senate-bill/2285/text?r=1&s=2&format=txt
105,1695,https://www.congress.gov/bill/105th-congress/senate-bill/1695/text?r=1&s=2&format=txt
105,858,https://www.congress.gov/bill/105th-congress/senate-bill/858/text?r=1&s=2&format=txt
105,1211,https://www.congress.gov/bill/105th-congress/senate-bill/1211/text?r=1&s=2&format=txt
105,1227,https://www.congress.gov/bill/105th-congress/senate-bill/1227/text?r=1&s=2&format=txt
105,414,https://www.congress.gov/bill/105th-congress/senate-bill/414/text?r=1&s=2&format=txt
105,476,https://www.congress.gov/bill/105th-congress/senate-bill/476/text?r=1&s=2&format=txt
105,2206,https://www.congress.gov/bill/105th-congress/senate-bill/2206/text?r=1&s=2&format=txt
105,2468,https://www.congress.gov/bill/105th-congress/senate-bill/2468/text?r=1&s=2&format=txt
105,423,https://www.congress.gov/bill/105th-congress/senate-bill/423/text?r=1&s=2&format=txt
105,1228,https://www.congress.gov/bill/105th-congress/senate-bill/1228/text?r=1&s=2&format=txt
105,2432,https://www.congress.gov/bill/105th-congress/senate-bill/2432/text?r=1&s=2&format=txt
105,2069,https://www.congress.gov/bill/105th-congress/senate-bill/2069/text?r=1&s=2&format=txt
105,1244,https://www.congress.gov/bill/105th-congress/senate-bill/1244/text?r=1&s=2&format=txt
105,819,https://www.congress.gov/bill/105th-congress/senate-bill/819/text?r=1&s=2&format=txt
105,2094,https://www.congress.gov/bill/105th-congress/senate-bill/2094/text?r=1&s=2&format=txt
105,2112,https://www.congress.gov/bill/105th-congress/senate-bill/2112/text?r=1&s=2&format=txt
105,1132,https://www.congress.gov/bill/105th-congress/senate-bill/1132/text?r=1&s=2&format=txt
105,391,https://www.congress.gov/bill/105th-congress/senate-bill/391/text?r=1&s=2&format=txt
105,996,https://www.congress.gov/bill/105th-congress/senate-bill/996/text?r=1&s=2&format=txt
105,505,https://www.congress.gov/bill/105th-congress/senate-bill/505/text?r=1&s=2&format=txt
105,1900,https://www.congress.gov/bill/105th-congress/senate-bill/1900/text?r=1&s=2&format=txt
105,2316,https://www.congress.gov/bill/105th-congress/senate-bill/2316/text?r=1&s=2&format=txt
105,931,https://www.congress.gov/bill/105th-congress/senate-bill/931/text?r=1&s=2&format=txt
105,1150,https://www.congress.gov/bill/105th-congress/senate-bill/1150/text?r=1&s=2&format=txt
105,1354,https://www.congress.gov/bill/105th-congress/senate-bill/1354/text?r=1&s=2&format=txt
105,1505,https://www.congress.gov/bill/105th-congress/senate-bill/1505/text?r=1&s=2&format=txt
105,1161,https://www.congress.gov/bill/105th-congress/senate-bill/1161/text?r=1&s=2&format=txt
105,1559,https://www.congress.gov/bill/105th-congress/senate-bill/1559/text?r=1&s=2&format=txt
105,1754,https://www.congress.gov/bill/105th-congress/senate-bill/1754/text?r=1&s=2&format=txt
105,731,https://www.congress.gov/bill/105th-congress/senate-bill/731/text?r=1&s=2&format=txt
105,156,https://www.congress.gov/bill/105th-congress/senate-bill/156/text?r=1&s=2&format=txt
105,738,https://www.congress.gov/bill/105th-congress/senate-bill/738/text?r=1&s=2&format=txt
105,1134,https://www.congress.gov/bill/105th-congress/senate-bill/1134/text?r=1&s=2&format=txt
105,2375,https://www.congress.gov/bill/105th-congress/senate-bill/2375/text?r=1&s=2&format=txt
105,1193,https://www.congress.gov/bill/105th-congress/senate-bill/1193/text?r=1&s=2&format=txt
105,2524,https://www.congress.gov/bill/105th-congress/senate-bill/2524/text?r=1&s=2&format=txt
105,1355,https://www.congress.gov/bill/105th-congress/senate-bill/1355/text?r=1&s=2&format=txt
105,1397,https://www.congress.gov/bill/105th-congress/senate-bill/1397/text?r=1&s=2&format=txt
105,2344,https://www.congress.gov/bill/105th-congress/senate-bill/2344/text?r=1&s=2&format=txt
105,1364,https://www.congress.gov/bill/105th-congress/senate-bill/1364/text?r=1&s=2&format=txt
105,342,https://www.congress.gov/bill/105th-congress/senate-bill/342/text?r=1&s=2&format=txt
105,916,https://www.congress.gov/bill/105th-congress/senate-bill/916/text?r=1&s=2&format=txt
105,318,https://www.congress.gov/bill/105th-congress/senate-bill/318/text?r=1&s=2&format=txt
105,744,https://www.congress.gov/bill/105th-congress/senate-bill/744/text?r=1&s=2&format=txt
105,927,https://www.congress.gov/bill/105th-congress/senate-bill/927/text?r=1&s=2&format=txt
105,1525,https://www.congress.gov/bill/105th-congress/senate-bill/1525/text?r=1&s=2&format=txt
105,2505,https://www.congress.gov/bill/105th-congress/senate-bill/2505/text?r=1&s=2&format=txt
105,53,https://www.congress.gov/bill/105th-congress/senate-bill/53/text?r=1&s=2&format=txt
105,2561,https://www.congress.gov/bill/105th-congress/senate-bill/2561/text?r=1&s=2&format=txt
105,1178,https://www.congress.gov/bill/105th-congress/senate-bill/1178/text?r=1&s=2&format=txt
105,2193,https://www.congress.gov/bill/105th-congress/senate-bill/2193/text?r=1&s=2&format=txt
105,910,https://www.congress.gov/bill/105th-congress/senate-bill/910/text?r=1&s=2&format=txt
105,1718,https://www.congress.gov/bill/105th-congress/senate-bill/1718/text?r=1&s=2&format=txt
105,2364,https://www.congress.gov/bill/105th-congress/senate-bill/2364/text?r=1&s=2&format=txt
105,1231,https://www.congress.gov/bill/105th-congress/senate-bill/1231/text?r=1&s=2&format=txt
105,1800,https://www.congress.gov/bill/105th-congress/senate-bill/1800/text?r=1&s=2&format=txt
105,1298,https://www.congress.gov/bill/105th-congress/senate-bill/1298/text?r=1&s=2&format=txt
105,493,https://www.congress.gov/bill/105th-congress/senate-bill/493/text?r=1&s=2&format=txt
105,231,https://www.congress.gov/bill/105th-congress/senate-bill/231/text?r=1&s=2&format=txt
105,2413,https://www.congress.gov/bill/105th-congress/senate-bill/2413/text?r=1&s=2&format=txt
105,2022,https://www.congress.gov/bill/105th-congress/senate-bill/2022/text?r=1&s=2&format=txt
105,890,https://www.congress.gov/bill/105th-congress/senate-bill/890/text?r=1&s=2&format=txt
105,830,https://www.congress.gov/bill/105th-congress/senate-bill/830/text?r=1&s=2&format=txt
105,2071,https://www.congress.gov/bill/105th-congress/senate-bill/2071/text?r=1&s=2&format=txt
105,459,https://www.congress.gov/bill/105th-congress/senate-bill/459/text?r=1&s=2&format=txt
105,2272,https://www.congress.gov/bill/105th-congress/senate-bill/2272/text?r=1&s=2&format=txt
105,1417,https://www.congress.gov/bill/105th-congress/senate-bill/1417/text?r=1&s=2&format=txt
105,1883,https://www.congress.gov/bill/105th-congress/senate-bill/1883/text?r=1&s=2&format=txt
